bin, frequency
0, -1.500000
1, -1.470000
2, -1.440000
3, -1.410000
4, -1.380000
5, -1.350000
6, -1.320000
7, -1.290000
8, -1.260000
9, -1.230000
10, -1.200000
11, -1.170000
12, -1.140000
13, -1.110000
14, -1.080000
15, -1.050000
16, -1.020000
17, -0.990000
18, -0.960000
19, -0.930000
20, -0.900000
21, -0.870000
22, -0.840000
23, -0.810000
24, -0.780000
25, -0.750000
26, -0.720000
27, -0.690000
28, -0.660000
29, -0.630000
30, -0.600000
31, -0.570000
32, -0.540000
33, -0.510000
34, -0.480000
35, -0.450000
36, -0.420000
37, -0.390000
38, -0.360000
39, -0.330000
40, -0.300000
41, -0.270000
42, -0.240000
43, -0.210000
44, -0.180000
45, -0.150000
46, -0.120000
47, -0.090000
48, -0.060000
49, -0.030000
50, 0.000000
51, 0.030000
52, 0.060000
53, 0.090000
54, 0.120000
55, 0.150000
56, 0.180000
57, 0.210000
58, 0.240000
59, 0.270000
60, 0.300000
61, 0.330000
62, 0.360000
63, 0.390000
64, 0.420000
65, 0.450000
66, 0.480000
67, 0.510000
68, 0.540000
69, 0.570000
70, 0.600000
71, 0.630000
72, 0.660000
73, 0.690000
74, 0.720000
75, 0.750000
76, 0.780000
77, 0.810000
78, 0.840000
79, 0.870000
80, 0.900000
81, 0.930000
82, 0.960000
83, 0.990000
84, 1.020000
85, 1.050000
86, 1.080000
87, 1.110000
88, 1.140000
89, 1.170000
90, 1.200000
91, 1.230000
92, 1.260000
93, 1.290000
94, 1.320000
95, 1.350000
96, 1.380000
97, 1.410000
98, 1.440000
99, 1.470000
100, 1.500000
